序号,零部件名称,供应商名称,故障类型,故障现象,原因分析,临时措施,永久措施,问题描述,D2-问题描述,发生频次,临时措施1,临时措施2,临时措施3,永久措施1,永久措施2,永久措施3,根本原因,流出原因
2642,前门密封条,兰金电子科技有限公司,尺寸,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B66450
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B66450的前门密封条出现批量尺寸缺陷,在涂装车间发现9件短路缺陷,初次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2643,前门密封条,恩悌网络有限公司,材料,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B30283的前门密封条出现批量材料缺陷,在总装车间发现20件间隙超差缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2644,后顶盖外板组件,创汇传媒有限公司,尺寸,色差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",后顶盖外板组件在发运场发现色差问题,创汇传媒有限公司交付的后顶盖外板组件在工厂015检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
2645,后顶盖外板组件,九方传媒有限公司,尺寸,色差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B34817的后顶盖外板组件出现批量尺寸缺陷,客户反馈批次B34817的后顶盖外板组件存在尺寸问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2646,车门铰链总成,网新恒天网络有限公司,外观,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",网新恒天网络有限公司供应的车门铰链总成在装配过程中出现压印,网新恒天网络有限公司交付的车门铰链总成在工厂005检测不合格,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2647,线束总成,四通网络有限公司,尺寸,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",线束总成在发运场发现间隙超差问题,客户反馈批次B88788的线束总成存在尺寸问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2648,后顶盖外板组件,易动力网络有限公司,外观,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",后顶盖外板组件在涂装车间发现压印问题,易动力网络有限公司交付的后顶盖外板组件在工厂014检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2649,后顶盖外板组件,万迅电脑科技有限公司,尺寸,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",万迅电脑科技有限公司供应的后顶盖外板组件在装配过程中出现间隙超差,万迅电脑科技有限公司交付的后顶盖外板组件在工厂004检测不合格,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2650,前门密封条,晖来计算机传媒有限公司,功能,压印,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B56665的前门密封条出现批量功能缺陷,在涂装车间发现28件压印缺陷,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2651,前门密封条,时刻网络有限公司,外观,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B80055
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",时刻网络有限公司供应的前门密封条在装配过程中出现短路,客户反馈批次B80055的前门密封条存在外观问题,多次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2652,后顶盖外板组件,天开网络有限公司,材料,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",后顶盖外板组件在商品化区域发现压印问题,天开网络有限公司交付的后顶盖外板组件在工厂011检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
2653,ECU控制器,昊嘉传媒有限公司,外观,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",ECU控制器在总装车间发现间隙超差问题,昊嘉传媒有限公司交付的ECU控制器在工厂018检测不合格,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2654,ECU控制器,华成育卓信息有限公司,材料,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B38132
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",ECU控制器在商品化区域发现短路问题,在商品化区域发现38件短路缺陷,初次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2655,车门铰链总成,网新恒天网络有限公司,功能,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B74472
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",网新恒天网络有限公司供应的车门铰链总成在装配过程中出现压印,在焊装车间发现36件压印缺陷,再次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2656,后顶盖外板组件,同兴万点网络有限公司,电气,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B76996
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",后顶盖外板组件在总装车间发现短路问题,客户反馈批次B76996的后顶盖外板组件存在电气问题,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
